latitude_deg,longitude_deg,STATE,IATA
37.92750168,-100.723999,Kansas,GCK
43.417099,-124.2460022,Oregon,OTH
37.06079865,-88.77380371,Kentucky,PAH
42.90980148,-112.5960007,Idaho,PIH
42.55709839,-92.40029907,Iowa,ALO
47.26789856,-122.5780029,Washington,TIW
42.584202,-70.916496,Massachusetts,BVY
34.7663002,-114.6230011,California,EED
35.02190018,-110.7229996,Arizona,INW
40.03939819,-105.2259979,Colorado,WBU
38.5707016,-90.15619659,Illinois,CPS
38.683998,-120.987999,California,
28.86730003,-82.57129669,Florida,
48.70819855,-122.9100037,Washington,ESD
42.55410004,-71.75900269,Massachusetts,
30.2432003,-98.90920258,Texas,
30.29050064,-87.67179871,Alabama,GUF
38.90919876,-121.3509979,California,
36.780201,-76.448799,Virginia,
29.30060005,-81.11360168,Florida,
33.74840164,-116.2750015,California,UDD
41.92079926,-71.49140167,Rhode Island,SFZ
43.39390182,-70.70800018,Maine,SFM
32.4095993,-111.2180023,Arizona,AVW
41.5942,-109.065001,Wyoming,RKS
33.22060013,-87.61139679,Alabama,TCL
36.13370132,-80.22200012,North Carolina,INT
38.06549835,-97.86060333,Kansas,HUT
37.434898,-105.866997,Colorado,ALS
36.74119949,-108.2300034,New Mexico,FMN
42.59569931,-87.92780304,Wisconsin,ENW
33.3572998,-84.57180023,Georgia,
48.47090149,-122.4209976,Washington,MVW
41.98929977,-88.10119629,Illinois,
35.387798,-80.709099,North Carolina,USA
36.463799,-116.880997,California,DTH
39.223998,-121.002997,California,
40.43740082,-104.6330032,Colorado,GXY
26.0012,-80.2407,Florida,HWO
29.81819916,-95.67259979,Texas,IWS
39.83069992,-86.29440308,Indiana,
39.26200104,-123.7539978,California,
34.25930023,-118.413002,California,WHP
38.83089828,-94.89029694,Kansas,JCI
34.60680008,-120.0759964,California,SQA
35.85779953,-83.52870178,Tennessee,GKT
38.26380157,-78.89640045,Virginia,SHD
42.46049881,-71.51789856,Massachusetts,
30.357106,-85.795414,Florida,ECP
31.32130051,-85.44960022,Alabama,DHN
34.1853981,-79.72389984,South Carolina,FLO
45.57089996,-84.79669952,Michigan,PLN
45.5466,-94.059898,Minnesota,STC
42.4818,-114.487999,Idaho,TWF
43.52939987,-72.94960022,Vermont,RUT
40.82139969,-82.51660156,Ohio,MFD
40.24229813,-85.39589691,Indiana,MIE
61.21350098,-149.8439941,Alaska,MRI
39.37060165,-101.6989975,Kansas,GLD
46.37450027,-117.0149994,Idaho,LWS
31.23399925,-94.75,Texas,LFK
38.50979996,-107.8939972,Colorado,MTJ
44.77759933,-89.66680145,Wisconsin,CWA
34.30301,-97.0196342,Oklahoma,ADM
33.31290054,-86.92590332,Alabama,
39.19219971,-119.7340012,Nevada,CSN
34.12310028,-84.84870148,Georgia,
29.135257,-83.04839,Florida,
40.95959854,-72.25180054,New York,HTO
33.35419846,-117.2509995,California,
34.27259827,-83.8302002,Georgia,GVL
40.48120117,-107.2180023,Colorado,HDN
42.29130173,-73.71029663,New York,HCC
29.97669983,-99.08570099,Texas,ERV
37.06290054,-120.8690033,California,LSN
37.62409973,-118.8379974,California,MMH
35.91899872,-75.69550323,North Carolina,MEO
41.0765,-71.920797,New York,MTP
36.18239975,-86.88670349,Tennessee,
27.26280022,-80.84980011,Florida,OBE
39.66740036,-119.8759995,Nevada,
34.34719849,-119.060997,California,SZP
47.90819931,-122.1050034,Washington,
31.53549957,-84.19450378,Georgia,ABY
55.35559845,-131.7140045,Alaska,KTN
30.12610054,-93.22329712,Louisiana,LCH
48.12020111,-123.5,Washington,CLM
33.45370102,-93.99099731,Arkansas,TXK
43.9919014,-76.021698,New York,ART
38.810799,-76.866997,Maryland,ADW
31.25880051,-81.46649933,Georgia,BQK
41.31209946,-105.6750031,Wyoming,LAR
29.38419914,-98.58110046,Texas,SKF
41.61629868,-87.41280365,Indiana,GYY
47.68280029,-117.322998,Washington,SFF
39.77190018,-94.90969849,Missouri,STJ
44.49720001,-123.2900009,Oregon,CVO
30.62680054,-88.06809998,Alabama,BFM
36.16120148,-97.08570099,Oklahoma,SWO
37.70640183,-112.1449966,Utah,BCE
41.07139969,-87.84629822,Illinois,IKK
38.06019974,-117.086998,Nevada,TPH
42.19029999,-122.6610031,Oregon,AHM
32.615101,-85.433998,Alabama,AUO
35.32479858,-118.9960022,California,
39.90119934,-83.13690186,Ohio,
29.63549995,-83.10479736,Florida,CTY
38.53150177,-121.7860031,California,
33.65140152,-97.1969986,Texas,GLE
